,official gene symbol,cell type (general),cell type id (human),gene id
249,MNDA,Adipocytes,Q101405079,Q18029230
250,MNDA,Kupffer cells,Q101405068,Q18029230
251,MNDA,Monocytes,Q101405036,Q18029230
252,HSD11B1,Adipocytes,Q101405079,Q14327752
253,HSD11B1,Hepatocytes,Q101405101,Q14327752
254,HSD11B1,Mast cells,Q101404923,Q14327752
255,HSD11B1,NK cells,Q68620803,Q14327752
256,HSD11B1,Pericytes,Q101405045,Q14327752
257,HSD11B1,Proximal tubule cells,Q101404885,Q14327752
258,AR,Adipocytes,Q101405079,Q14873015
259,AR,Hepatocytes,Q101405101,Q14873015
260,AR,Luminal epithelial cells,Q101404886,Q14873015
261,AR,Mesothelial cells,Q101405100,Q14873015
262,AR,Monocytes,Q101405036,Q14873015
263,AR,Sertoli cells,Q101404909,Q14873015
264,GDF10,Adipocytes,Q101405079,Q14912142
265,GDF10,Bergmann glia,Q101404920,Q14912142
266,GDF10,Stromal cells,Q101404941,Q14912142
267,CYP1B1,Adipocytes,Q101405079,Q14905165
268,CYP1B1,Endothelial cells,Q101404908,Q14905165
269,CYP1B1,Endothelial cells (aorta),Q101404926,Q14905165
270,CYP1B1,Fibroblasts,Q101404861,Q14905165
271,CYP1B1,Peritubular myoid cells,Q101405058,Q14905165
272,COL5A3,Adipocytes,Q101405079,Q18039814
273,STEAP4,Adipocytes,Q101405079,Q18046269
274,STEAP4,Pericytes,Q101405045,Q18046269
275,CCL11,Adipocytes,Q101405079,Q14907650
276,CCL11,Eosinophils,Q101405048,Q14907650
277,CCL11,Fibroblasts,Q101404861,Q14907650
278,CCL11,Osteoblasts,Q101405044,Q14907650
279,NR1H3,Adipocytes,Q101405079,Q18034995
280,NR1H3,Pericytes,Q101405045,Q18034995
281,NR1H3,Red pulp macrophages,Q101404936,Q18034995
282,DEPTOR,Adipocytes,Q101405079,Q18045765
283,DEPTOR,Interneurons,Q101405035,Q18045765
284,CYTH3,Adipocytes,Q101405079,Q18033955
285,CYTH3,Enteric neurons,Q101404906,Q18033955
286,FMO1,Adipocytes,Q101405079,Q5458077
287,FMO1,Neurons,Q101405104,Q5458077
288,ACADSB,Adipocytes,Q101405079,Q4650492
289,XDH,Adipocytes,Q101405079,Q15330855
290,XDH,Endothelial cells,Q101404908,Q15330855
291,RSPO3,Adipocytes,Q101405079,Q18047823
292,PTGES,Adipocytes,Q101405079,Q18034361
293,PTGES,Principal cells,Q101404911,Q18034361
294,CREB3L1,Adipocytes,Q101405079,Q18048446
295,CREB3L1,Goblet cells,Q101405054,Q18048446
296,CREB3L1,Mast cells,Q101404923,Q18048446
297,ANGPTL2,Adipocytes,Q101405079,Q18037189
298,ANGPTL2,Ependymal cells,Q101405078,Q18037189
299,ANGPTL2,Fibroblasts,Q101404861,Q18037189
300,ANGPTL2,Podocytes,Q101405039,Q18037189
301,ADAM12,Adipocytes,Q101405079,Q18032713
302,ADAM12,Myoblasts,Q101404940,Q18032713
303,ADAM12,Myocytes,Q101404903,Q18032713
304,LBP,Adipocytes,Q101405079,Q14907577
305,NMB,Adipocytes,Q101405079,Q18030168
306,NMB,Interneurons,Q101405035,Q18030168
307,RARRES2,Adipocytes,Q101405079,Q18031045
308,RARRES2,Ependymal cells,Q101405078,Q18031045
309,RARRES2,Fibroblasts,Q101404861,Q18031045
310,RARRES2,Mesothelial cells,Q101405100,Q18031045
311,RARRES2,Pericytes,Q101405045,Q18031045
312,RARRES2,Peritubular myoid cells,Q101405058,Q18031045
313,FST,Adipocytes,Q101405079,Q14904864
314,FST,Hepatocytes,Q101405101,Q14904864
315,FST,Keratinocytes,Q101405049,Q14904864
316,FST,Myoepithelial cells,Q101404924,Q14904864
317,CPXM1,Adipocytes,Q101405079,Q18042352
318,C3,Adipocytes,Q101405079,Q14874317
319,ADAMTS5,Adipocytes,Q101405079,Q14865289
320,ADAMTS5,Fibroblasts,Q101404861,Q14865289
321,ADAMTS5,Loop of Henle cells,Q101405109,Q14865289
322,ADAMTS5,Photoreceptor cells,Q101404878,Q14865289
323,ADAMTS5,Photoreceptor cells,Q101404879,Q14865289
324,MT2A,Adipocytes,Q101405079,Q18029495
325,TIMP1,Adipocytes,Q101405079,Q18031995
326,TIMP1,Hepatic stellate cells,Q101404946,Q18031995
327,TIMP1,Pancreatic stellate cells,Q101404859,Q18031995
328,METRN,Adipocytes,Q101405079,Q18045935
329,METRN,Bergmann glia,Q101404920,Q18045935
330,METRNL,Adipocytes,Q101405079,Q18054272
331,MYO1C,Adipocytes,Q101405079,Q18029782
332,NQO1,Adipocytes,Q101405079,Q17913995
333,NQO1,Olfactory epithelial cells,Q101405047,Q17913995
334,SYAP1,Adipocytes,Q101405079,Q18048778
335,CRNDE,Adipocytes,Q101405079,Q18059664
336,AQP5,Adipocytes,Q101405079,Q17831317
337,AQP5,Airway goblet cells,Q101405090,Q17831317
338,AQP5,Luminal epithelial cells,Q101404886,Q17831317
339,AQP5,Pulmonary alveolar type I cells,Q101405061,Q17831317
340,TSPO,Adipocytes,Q101405079,Q14913474
341,AZGP1,Adipocytes,Q101405079,Q17836600
342,AZGP1,Hepatocytes,Q101405101,Q17836600
343,LRP1,Adipocytes,Q101405079,Q535544
344,LRP1,Megakaryocytes,Q101404874,Q535544
345,PDE3B,Adipocytes,Q101405079,Q18030405
346,LGALS12,Adipocytes,Q101405079,Q18047991
347,SERPINF1,Adipocytes,Q101405079,Q18030441
348,SERPINF1,Osteoclasts,Q101404928,Q18030441
349,SERPINF1,Plasmacytoid dendritic cells,Q101405033,Q18030441
350,CPT1B,Adipocytes,Q101405079,Q17909191
351,ELOVL3,Adipocytes,Q101405079,Q18047144
352,PPARGC1A,Adipocytes,Q101405079,Q18035922
353,MPZL1,Adipocytes,Q101405079,Q18033761
354,CITED1,Adipocytes,Q101405079,Q18029412
355,CITED1,Kidney progenitor cells,Q101405120,Q18029412
356,CITED1,Mammary epithelial cells,Q101404863,Q18029412
357,DPT,Adipocytes,Q101405079,Q5262711
358,DPT,Fibroblasts,Q101404861,Q5262711
359,ZNF423,Adipocytes,Q101405079,Q18036715
360,ESM1,Adipocytes,Q101405079,Q18036111
361,ESM1,Endothelial cells,Q101404908,Q18036111
362,ESM1,Serotonergic neurons,Q101404905,Q18036111
363,TH,Adrenergic neurons,Q101405030,Q18254977
364,TH,Dopaminergic neurons,Q101405098,Q18254977
365,TH,Interneurons,Q101405035,Q18254977
366,TH,Juxtaglomerular cells,Q101404858,Q18254977
367,TH,Neurons,Q101405104,Q18254977
368,TH,Noradrenergic neurons,Q101404932,Q18254977
369,TH,Purkinje neurons,Q101404913,Q18254977
370,DDC,Adrenergic neurons,Q101405030,Q17913463
371,DDC,Dopaminergic neurons,Q101405098,Q17913463
372,DDC,Mast cells,Q101404923,Q17913463
373,DDC,Noradrenergic neurons,Q101404932,Q17913463
374,DDC,Oligodendrocytes,Q101404898,Q17913463
375,DDC,Serotonergic neurons,Q101404905,Q17913463
376,DBH,Adrenergic neurons,Q101405030,Q14907561
377,DBH,Noradrenergic neurons,Q101404932,Q14907561
378,PNMT,Adrenergic neurons,Q101405030,Q18030633
379,PNMT,Cardiomyocytes,Q101405077,Q18030633
380,PNMT,Chromaffin cells,Q101404868,Q18030633
381,SLC18A2,Adrenergic neurons,Q101405030,Q14916234
382,SLC18A2,Chromaffin cells,Q101404868,Q14916234
383,SLC18A2,Dopaminergic neurons,Q101405098,Q14916234
384,SLC18A2,Enteric glia cells,Q101405119,Q14916234
385,SLC18A2,Noradrenergic neurons,Q101404932,Q14916234
386,SLC18A2,Serotonergic neurons,Q101404905,Q14916234
387,NPFF,Adrenergic neurons,Q101405030,Q18033159
388,SLC12A7,Adrenergic neurons,Q101405030,Q18035624
389,SYT1,Adrenergic neurons,Q101405030,Q18031809
390,AQP1,Airway epithelial cells,Q101405065,Q14905238
391,AQP1,Cardiomyocytes,Q101405077,Q14905238
392,AQP1,Cholangiocytes,Q101405042,Q14905238
393,AQP1,Choroid plexus cells,Q101404896,Q14905238
394,AQP1,Ductal cells,Q101404956,Q14905238
395,AQP1,Endothelial cells,Q101404908,Q14905238
396,AQP1,Enterocytes,Q101405073,Q14905238
397,AQP1,Ependymal cells,Q101405078,Q14905238
398,AQP1,Erythroid-like and erythroid precursor cells,Q101404957,Q14905238
399,AQP1,Loop of Henle cells,Q101405109,Q14905238
400,AQP1,Neurons,Q101405104,Q14905238
401,AQP1,Proximal tubule cells,Q101404885,Q14905238
402,ADH7,Airway epithelial cells,Q101405065,Q17710293
403,ADH7,Endothelial cells (aorta),Q101404926,Q17710293
404,CDH1,Airway epithelial cells,Q101405065,Q17859787
405,CDH1,Basophils,Q101405089,Q17859787
406,CDH1,Embryonic stem cells,Q101405112,Q17859787
407,CDH1,Epiblast cells,Q101404877,Q17859787
408,CDH1,Epithelial cells,Q101404948,Q17859787
409,CDH1,Erythroblasts,Q101405046,Q17859787
410,CDH1,Hepatoblasts,Q101404910,Q17859787
411,CDH1,Hepatocytes,Q101405101,Q17859787
412,CDH1,Luminal epithelial cells,Q101404886,Q17859787
413,CDH1,Mammary epithelial cells,Q101404863,Q17859787
414,CDH1,Mesothelial cells,Q101405100,Q17859787
415,CDH1,Plasmacytoid dendritic cells,Q101405033,Q17859787
416,CDH1,Satellite cells,Q101404953,Q17859787
417,CDH1,Sebocytes,Q101405069,Q17859787
418,SEC14L3,Airway epithelial cells,Q101405065,Q18053950
419,SEC14L3,Ciliated cells,Q101405066,Q18053950
420,SEC14L3,Pulmonary alveolar type I cells,Q101405061,Q18053950
421,MUC5B,Airway goblet cells,Q101405090,Q18061232
422,MUC5B,Cholangiocytes,Q101405042,Q18061232
423,MUC5B,Goblet cells,Q101405054,Q18061232
424,MUC16,Airway goblet cells,Q101405090,Q14864522
425,MUC16,Epithelial cells,Q101404948,Q14864522
426,MUC16,Mesothelial cells,Q101405100,Q14864522
427,LTF,Airway goblet cells,Q101405090,Q14864016
428,LTF,Epithelial cells,Q101404948,Q14864016
429,LTF,Luminal epithelial cells,Q101404886,Q14864016
430,LTF,Neutrophils,Q101405102,Q14864016
431,SCGB3A1,Airway goblet cells,Q101405090,Q18048620
432,SCGB3A1,Cholangiocytes,Q101405042,Q18048620
433,DMBT1,Airway goblet cells,Q101405090,Q17914021
434,DMBT1,Enterocytes,Q101405073,Q17914021
435,DMBT1,Paneth cells,Q101405040,Q17914021
436,LIPF,Airway goblet cells,Q101405090,Q18033040
437,MSLN,Airway goblet cells,Q101405090,Q14914057
438,MSLN,Mesothelial cells,Q101405100,Q14914057
439,AGR2,Airway goblet cells,Q101405090,Q18035476
440,AGR2,Cholangiocytes,Q101405042,Q18035476
441,AGR2,Epithelial cells,Q101404948,Q18035476
442,AGR2,Goblet cells,Q101405054,Q18035476
443,AGR2,Luminal epithelial cells,Q101404886,Q18035476
444,AGR2,Paneth cells,Q101405040,Q18035476
445,AGR2,Schwann cells,Q101404893,Q18035476
446,GP2,Airway goblet cells,Q101405090,Q18026318
447,GP2,Microfold cells,Q101404934,Q18026318
448,PIGR,Airway goblet cells,Q101405090,Q18253018
449,PIGR,Cholangiocytes,Q101405042,Q18253018
450,PIGR,Ductal cells,Q101404956,Q18253018
451,PIGR,Epithelial cells,Q101404948,Q18253018
452,PIGR,Pulmonary alveolar type II cells,Q101404950,Q18253018
453,TFF2,Airway goblet cells,Q101405090,Q18031965
454,TFF2,Cholangiocytes,Q101405042,Q18031965
455,TFF2,Ductal cells,Q101404956,Q18031965
456,TFF2,Foveolar cells,Q101405056,Q18031965
457,QSOX1,Airway goblet cells,Q101405090,Q18030922
458,FXYD3,Airway goblet cells,Q101405090,Q18030595
459,SEC23B,Airway goblet cells,Q101405090,Q18035422
460,SEC23B,Epithelial cells,Q101404948,Q18035422
461,CEACAM1,Airway goblet cells,Q101405090,Q17848256
462,CEACAM1,Enterocytes,Q101405073,Q17848256
463,CEACAM1,Epithelial cells,Q101404948,Q17848256
464,CEACAM1,Erythroid-like and erythroid precursor cells,Q101404957,Q17848256
465,CEACAM1,Neutrophils,Q101405102,Q17848256
466,GOLPH3,Airway goblet cells,Q101405090,Q17119392
467,GGH,Airway goblet cells,Q101405090,Q18033470
468,GALNT5,Airway goblet cells,Q101405090,Q18036414
469,GALNT6,Airway goblet cells,Q101405090,Q18036413
470,MUC5AC,Airway goblet cells,Q101405090,Q18029666
471,MUC5AC,Epithelial cells,Q101404948,Q18029666
472,MUC5AC,Foveolar cells,Q101405056,Q18029666
473,MUC5AC,Goblet cells,Q101405054,Q18029666
474,MUC4,Airway goblet cells,Q101405090,Q18029663
475,MUC4,Goblet cells,Q101405054,Q18029663
476,MUC20,Airway goblet cells,Q101405090,Q18053197
477,SPDEF,Airway goblet cells,Q101405090,Q18037702
478,SPDEF,Goblet cells,Q101405054,Q18037702
479,DUSP4,Airway goblet cells,Q101405090,Q17915100
480,NOG,Airway smooth muscle cells,Q101405111,Q18252680
481,NOG,Chondrocytes,Q101405092,Q18252680
482,ACTA2,Airway smooth muscle cells,Q101405111,Q17709258
483,ACTA2,Hepatic stellate cells,Q101404946,Q17709258
484,ACTA2,Juxtaglomerular cells,Q101404858,Q17709258
485,ACTA2,Mesangial cells,Q101405121,Q17709258
486,ACTA2,Myoepithelial cells,Q101404924,Q17709258
487,ACTA2,Myofibroblasts,Q101404949,Q17709258
488,ACTA2,Pericytes,Q101405045,Q17709258
489,ACTA2,Smooth muscle cells,Q101404901,Q17709258
490,ACTA2,Vascular smooth muscle cells,Q101404937,Q17709258
491,FOXF1,Airway smooth muscle cells,Q101405111,Q17928666
492,FOXF1,Endothelial cells,Q101404908,Q17928666
493,FOXF1,Fibroblasts,Q101404861,Q17928666
494,FOXF1,Hepatic stellate cells,Q101404946,Q17928666
495,GATA5,Airway smooth muscle cells,Q101405111,Q18050849
496,GATA5,Myocytes,Q101404903,Q18050849
497,GCG,Alpha cells,Q101404914,Q14821391
498,GCG,Enteroendocrine cells,Q101404935,Q14821391
499,TTR,Alpha cells,Q101404914,Q14864353
500,TTR,Choroid plexus cells,Q101404896,Q14864353
501,TTR,Epithelial cells,Q101404948,Q14864353
502,TTR,Hepatocytes,Q101405101,Q14864353
503,GLP1R,Alpha cells,Q101404914,Q14909910
504,GLP1R,Enteroendocrine cells,Q101404935,Q14909910
505,ARX,Alpha cells,Q101404914,Q15319726
506,ARX,Enteroendocrine cells,Q101404935,Q15319726
507,ARX,Epsilon cells,Q101404922,Q15319726
508,ARX,Gamma (PP) cells,Q101405057,Q15319726
